,地区,种类,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
131,湖北省,葡萄园面积,5.27,5.11,4.92,4.88,5.68,5.22,4.77,5.16,5.65,5.85,6.24,5.57,8.45,10.21,10.0,12.7,11.9,13.9,,
132,湖北省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
133,湖南省,果园面积,,,,,,,,,,,510.91,519.65,537.14,545.96,563.85,563.9,533.07,536.44,500.74,
134,湖南省,水果产量,383.47,150.5,455.17,479.01,512.38,499.35,519.49,586.24,630.62,663.09,715.73,788.41,868.83,909.25,879.44,920.05,981.04,1048.18,956.39,
135,湖南省,苹果产量,,,,,,,,0.0,,,,,,,,,,,,
136,湖南省,苹果园面积,,,,,,,,,,,,,,,,,,,,
137,湖南省,葡萄园面积,3.43,3.96,5.28,8.34,9.79,11.69,12.43,12.96,18.89,14.53,15.22,16.68,20.1,22.32,25.6,23.5,25.1,26.0,,
138,湖南省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
139,甘肃省,果园面积,,,,,,,,,,,411.55,419.95,430.01,446.94,451.76,451.8,458.67,472.89,303.33,
140,甘肃省,水果产量,191.95,121.59,217.96,237.28,247.74,245.65,280.7,332.77,358.44,411.62,459.87,488.54,519.08,564.99,611.49,636.58,678.99,737.96,630.85,
141,甘肃省,苹果产量,62.9,69.07,72.39,77.6,83.0,79.97,101.26,125.41,142.43,164.14,185.62,201.66,227.6,248.75,269.6,297.08,328.59,360.11,311.13,
142,甘肃省,苹果园面积,194.95,167.64,165.91,163.53,167.45,173.19,183.77,207.37,247.64,246.52,261.59,268.64,274.81,283.94,290.2,290.2,294.8,294.2,,
143,甘肃省,葡萄园面积,2.99,4.22,6.87,8.97,9.35,9.21,8.89,8.88,10.17,10.96,13.42,18.41,20.78,25.96,25.8,26.7,27.7,29.8,,
144,甘肃省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
145,福建省,果园面积,,,,,,,,,,,538.04,536.15,531.18,534.93,539.2,539.2,545.67,541.7,310.45,
146,福建省,水果产量,452.84,356.44,468.14,498.98,521.99,552.91,559.08,570.77,594.2,632.46,645.04,642.77,687.88,708.83,744.31,790.85,837.05,853.81,644.67,
147,福建省,苹果产量,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.0,0.0,,
148,福建省,苹果园面积,0.23,0.23,0.2,0.12,0.04,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,,,,,,
149,福建省,葡萄园面积,2.18,2.61,3.11,3.87,4.47,4.83,4.99,5.53,5.25,5.48,5.56,5.84,6.3,6.9,8.1,8.5,9.1,9.1,,
150,福建省,香蕉产量,69.26,74.65,79.74,76.5,83.76,81.99,85.54,85.11,88.42,88.23,90.6,88.21,86.97,90.26,91.51,91.71,95.01,96.59,38.71,
151,西藏自治区,果园面积,,,,,,,,,,,1.54,2.15,2.15,2.02,1.97,2.0,3.22,3.22,,
152,西藏自治区,水果产量,0.99,0.74,0.7,0.82,1.07,0.89,0.89,0.89,1.09,1.07,1.23,2.21,1.35,1.36,1.3,1.44,1.49,1.53,0.16,
153,西藏自治区,苹果产量,0.55,0.53,0.54,0.51,0.56,0.53,0.57,0.39,0.4,0.44,0.44,0.55,0.55,0.44,0.55,0.55,0.63,0.63,,
154,西藏自治区,苹果园面积,1.13,1.05,0.83,0.59,0.61,0.59,0.74,0.95,1.0,1.12,0.07,1.4,1.4,1.32,1.1,1.1,1.6,1.6,,
155,西藏自治区,葡萄园面积,,,,,,,,,0.1,0.02,,0.03,0.03,0.03,,0.3,0.3,0.3,,
156,西藏自治区,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
157,贵州省,果园面积,,,,,,,,,,,140.83,151.83,169.02,192.96,228.13,228.1,300.48,324.16,406.35,
158,贵州省,水果产量,55.21,31.1,62.93,71.57,78.75,87.17,95.96,109.19,112.86,114.28,119.74,123.47,128.03,147.72,167.75,196.38,224.9,243.88,280.14,
159,贵州省,苹果产量,0.7,0.77,0.79,0.94,0.93,1.03,1.02,1.06,1.1,1.22,1.62,1.55,2.17,2.49,3.25,4.39,5.27,5.95,7.07,
160,贵州省,苹果园面积,7.18,8.08,7.69,7.38,4.85,5.95,5.71,6.02,6.38,6.31,6.89,6.64,6.53,9.56,9.2,9.2,12.1,14.3,,
161,贵州省,葡萄园面积,2.51,3.54,3.17,3.15,3.37,3.78,4.49,4.49,5.88,6.45,7.57,9.53,11.06,13.28,16.6,23.7,28.7,31.8,,
162,贵州省,香蕉产量,1.14,0.99,1.03,0.84,0.85,0.89,0.87,0.87,0.88,0.8,0.79,0.61,0.59,0.61,0.56,0.58,0.85,0.95,1.73,
163,辽宁省,果园面积,,,,,,,,,,,349.7,354.15,359.86,368.52,400.45,400.4,405.46,380.34,350.69,
164,辽宁省,水果产量,305.27,249.97,337.95,356.2,396.94,430.15,451.29,478.41,532.72,591.65,655.6,733.1,810.74,894.29,944.65,870.56,882.02,802.26,770.27,
165,辽宁省,苹果产量,146.98,123.15,113.47,100.51,108.99,122.21,129.96,130.14,151.49,170.91,194.81,209.47,239.68,263.41,275.23,247.6,248.41,256.6,240.95,
166,辽宁省,苹果园面积,209.04,195.06,161.94,131.89,115.11,111.77,110.32,109.09,107.12,114.0,121.88,125.9,133.96,139.0,155.0,155.0,161.0,155.4,,
167,辽宁省,葡萄园面积,20.81,27.84,29.71,35.63,37.37,36.76,28.14,26.84,25.2,26.6,26.8,26.56,27.38,35.32,36.8,37.7,38.4,34.2,,
168,辽宁省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
169,重庆市,果园面积,,,,,,,,,,,230.88,248.65,264.77,282.2,296.38,296.4,295.54,308.42,290.3,
170,重庆市,水果产量,94.45,81.68,97.36,113.41,128.59,137.22,154.63,145.74,175.89,193.28,212.87,238.47,261.13,291.19,319.26,347.61,375.95,408.69,403.38,
171,重庆市,苹果产量,0.57,0.7,0.62,0.62,0.64,0.69,0.61,0.63,0.67,0.58,0.69,0.53,0.57,0.5,0.49,0.46,0.48,0.5,0.42,
172,重庆市,苹果园面积,2.17,2.25,1.98,1.78,2.65,1.76,1.9,1.7,1.77,1.58,2.01,1.59,1.39,1.01,0.7,0.7,0.7,0.8,,
173,重庆市,葡萄园面积,1.01,1.17,1.47,1.74,2.56,2.06,2.26,2.6,2.68,2.51,3.93,4.68,5.65,6.31,6.9,8.6,10.2,9.8,,
174,重庆市,香蕉产量,0.23,0.2,0.14,0.13,0.15,0.17,0.19,0.17,0.2,0.16,0.16,0.17,0.19,0.1,0.19,0.14,0.13,0.12,1.18,
175,陕西省,果园面积,,,,,,,,,,,1011.36,1083.33,1121.24,1160.19,1193.89,1193.9,1243.46,1263.77,1086.88,
